№,Сюжетный этап,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Правильный ответ,Тайминг
1,Setup,Какой инструмент сейчас рекомендуется для старта нового Vue-проекта?,create-vue через Vite,Только Vue CLI,Только Webpack вручную,Только jQuery,A,20
2,Setup,Какая команда запускает официальный scaffolding Vue-проекта?,npm create vue@latest,vue start app,npm install vue-app,vite init vue-cli,A,20
3,Components,Из каких трех основных блоков чаще всего состоит файл Single File Component?,template script style,html server json,render router store,class method build,A,20
4,Components,Зачем приложение делят на компоненты?,Чтобы переиспользовать и упрощать код,Чтобы убрать стили совсем,Чтобы отказаться от шаблонов,Чтобы не использовать JavaScript,A,20
5,Reactivity,Какой API Vue удобно использовать для реактивного примитивного значения?,ref,class,slot,directive,A,20
6,Reactivity,Какой API чаще используют для реактивного объекта с несколькими полями?,reactive,emit,mount,style,A,20
7,Reactivity,Что лучше использовать для значения которое зависит от других реактивных данных?,computed,alert,innerHTML,switch,A,20
8,Reactivity,Какой инструмент Vue позволяет отследить изменение реактивного значения?,watch,props,slot,style scoped,A,20
9,Reactivity,Как называется хук Composition API который срабатывает после монтирования компонента?,onMounted,onStyled,onTemplate,onMethod,A,20
10,Props,Через что родительский компонент обычно передает данные дочернему?,props,watch,v-for,slot,A,20
11,Props,Почему источник состояния лучше хранить в родителе?,Чтобы сохранить однонаправленный поток данных,Чтобы запретить компоненты,Чтобы удалить шаблон,Чтобы не писать CSS,A,25
12,Props,Как в этом проекте MissionConsole получает текущий этап?,Через selected-stage prop,Через SQL-запрос,Через jQuery AJAX,Через PHP-файл,A,25
13,Setup,Какое преимущество Vite чаще всего называют в сравнении со старым подходом?,Быстрый dev server и быстрая разработка,Он полностью заменяет Vue,Он не использует JavaScript,Он нужен только для CSS,A,20
14,Docs,Где безопаснее всего проверять актуальные рекомендации по Vue?,В официальной документации Vue.js,В случайных комментариях,В старых форумах без даты,В любом архивном PDF,A,20
15,Finish,Что обязательно усиливает итоговую работу помимо самого Kahoot-квеста?,Рабочий Vue-проект с демонстрацией структуры и реактивности,Только список терминов,Только титульный слайд,Только реферат без демо,A,25
